çtimestamp,url,status
2025-09-29T00:00:00Z,"http://10.79.0.97:6010/SimonQuotation/securityServlet?co=CO&Username=1093783815&employeeType=CC&sbcodActBenef=2",200
2025-09-29T00:00:00Z,"http://10.79.0.98:6013/SimonQuotation/securityServlet?co=CO&Username=1093783815&employeeType=CC&sbcodActBenef=2",200
2025-09-29T00:00:00Z,"http://10.79.0.106:6010/SimonQuotation/securityServlet?co=CO&Username=1093783815&employeeType=CC&sbcodActBenef=2",200
2025-09-29T00:00:00Z,"http://10.79.0.84:6013/SimonQuotation/securityServlet?co=CO&Username=1093783815&employeeType=CC&sbcodActBenef=2",200
2025-09-29T00:00:00Z,"http://10.79.0.97:6013/SimonQuotation/securityServlet?co=CO&Username=1093783815&employeeType=CC&sbcodActBenef=2",000
2025-09-29T00:00:00Z,"http://10.79.0.98:6013/SimonQuotation/securityServlet?co=CO&Username=1093783815&employeeType=CC&sbcodActBenef=2",000
2025-09-29T00:00:00Z,"http://10.79.0.106:6013/SimonQuotation/securityServlet?co=CO&Username=1093783815&employeeType=CC&sbcodActBenef=2",000
2025-09-29T00:00:00Z,"http://10.79.0.84:6013/SimonQuotation/securityServlet?co=CO&Username=1093783815&employeeType=CC&sbcodActBenef=2",000
2025-09-29T00:00:00Z,"http://10.79.0.97:6005/SimonWeb/securityServlet?co=CO&username=80420092&employeeType=CC&sbcodActBenef=2",302
2025-09-29T00:00:00Z,"http://10.79.0.98:6005/SimonWeb/securityServlet?co=CO&username=80420092&employeeType=CC&sbcodActBenef=2",302
2025-09-29T00:00:00Z,"http://10.79.0.106:6005/SimonWeb/securityServlet?co=CO&username=80420092&employeeType=CC&sbcodActBenef=2",200
2025-09-29T00:00:00Z,"http://10.79.0.84:6005/SimonWeb/securityServlet?co=CO&username=80420092&employeeType=CC&sbcodActBenef=2",302
2025-09-29T00:00:00Z,"http://10.79.0.97:6004/SimonWeb/securityServlet?co=CO&username=80420092&employeeType=CC&sbcodActBenef=2",200
2025-09-29T00:00:00Z,"http://10.79.0.98:6004/SimonWeb/securityServlet?co=CO&username=80420092&employeeType=CC&sbcodActBenef=2",200
2025-09-30T18:25:00Z,"http://10.79.0.97:6010/SimonQuotation/securityServlet?co=CO&Username=1093783815",200
2025-09-30T18:25:00Z,"http://10.79.0.98:6010/SimonQuotation/securityServlet?co=CO&Username=1093783815",200
2025-09-30T18:25:00Z,"http://10.79.0.106:6010/SimonQuotation/securityServlet?co=CO&Username=1093783815",200
2025-09-30T18:25:00Z,"http://10.79.0.84:6010/SimonQuotation/securityServlet?co=CO&Username=1093783815",200
2025-09-30T18:25:00Z,"http://10.79.0.97:6013/SimonQuotation/securityServlet?co=CO&Username=1093783815",000
2025-09-30T18:25:00Z,"http://10.79.0.98:6013/SimonQuotation/securityServlet?co=CO&Username=1093783815",000
2025-09-30T18:25:00Z,"http://10.79.0.106:6013/SimonQuotation/securityServlet?co=CO&Username=1093783815",000
2025-09-30T18:25:00Z,"http://10.79.0.84:6013/SimonQuotation/securityServlet?co=CO&Username=1093783815",000
2025-10-01T00:00:00Z,"http://10.1.5.46:6010/SimonQuotation/securityServlet?co=CO&Username=1093783815&employeeType=CC&sbcodActBenef=2",000
2025-10-01T00:00:00Z,"http://10.1.5.47:6010/SimonQuotation/securityServlet?co=CO&Username=1093783815&employeeType=CC&sbcodActBenef=2",000
2025-10-01T00:00:00Z,"http://10.1.5.95:6010/SimonQuotation/securityServlet?co=CO&Username=1093783815&employeeType=CC&sbcodActBenef=2",000
2025-10-01T00:00:00Z,"http://10.1.5.148:6010/SimonQuotation/securityServlet?co=CO&Username=1093783815&employeeType=CC&sbcodActBenef=2",000
2025-10-01T00:00:00Z,"http://10.1.5.46:6013/SimonQuotation/securityServlet?co=CO&Username=1093783815&employeeType=CC&sbcodActBenef=2",000
2025-10-01T00:00:00Z,"http://10.1.5.47:6013/SimonQuotation/securityServlet?co=CO&Username=1093783815&employeeType=CC&sbcodActBenef=2",000
2025-10-01T00:00:00Z,"http://10.1.5.95:6013/SimonQuotation/securityServlet?co=CO&Username=1093783815&employeeType=CC&sbcodActBenef=2",000
2025-10-01T00:00:00Z,"http://10.1.5.46:6005/SimonWeb/securityServlet?co=CO&Username=80420092&employeeType=CC&sbcodActBenef=2",000
2025-10-02T12:00:00Z,"http://10.79.0.97:6010/SimonQuotation",200
2025-10-02T12:00:00Z,"http://10.79.0.98:6010/SimonQuotation",200
2025-10-02T12:00:00Z,"http://10.79.0.106:6010/SimonQuotation",200
2025-10-02T12:00:00Z,"http://10.79.0.84:6010/SimonQuotation",200
2025-10-02T12:00:00Z,"http://10.79.0.97:6013/SimonQuotation",0
2025-10-02T12:00:00Z,"http://10.79.0.98:6013/SimonQuotation",0
2025-10-02T12:00:00Z,"http://10.79.0.106:6013/SimonQuotation",0
2025-10-02T12:00:00Z,"http://10.79.0.84:6013/SimonQuotation",0
2025-10-02T12:00:00Z,"http://10.79.0.97:6005/SimonWeb",200
2025-10-02T12:00:00Z,"http://10.79.0.98:6005/SimonWeb",200
2025-10-02T12:00:00Z,"http://10.79.0.97:6004/SimonWeb",0
2025-10-02T12:00:00Z,"http://10.79.0.98:6004/SimonWeb",0
2025-10-02T12:00:00Z,"http://10.79.0.106:6005/SimonWeb",200
2025-10-02T12:00:00Z,"http://10.79.0.84:6004/SimonWeb",0
2025-10-02T12:00:00Z,"http://10.79.0.106:6004/SimonWeb",0
